success,move_time_s,shoulder_position_sequence,shoulder_servo_tau_stall,shoulder_servo_max_speed,shoulder_servo_servo_mass,shoulder_link_length,shoulder_link_mass,elbow_position_sequence,elbow_servo_tau_stall,elbow_servo_max_speed,elbow_servo_servo_mass,elbow_link_length,elbow_link_mass,load_proxy_mass,load_proxy_length,load_proxy_z_offset,load_carry_sequence,stop_time,shoulder_servo_name,elbow_servo_name,shoulder_final_deg,elbow_final_deg
False,0.0,70.0;50.0;50.0;75.0;55.0;55.0;70.0,0.118,500.0,0.009,0.22,0.04,-45.0;-30.0;-30.0;5.0;-25.0;-25.0;-45.0,0.118,500.0,0.009,0.12,0.045,0.02,0.08,0.04,False;True;True;True;False;False,15.0,SG90,SG90,-77.524,-30.008
False,0.0,70.0;50.0;50.0;75.0;55.0;55.0;70.0,0.118,500.0,0.009,0.22,0.04,-45.0;-30.0;-30.0;5.0;-25.0;-25.0;-45.0,0.196,545.0,0.013,0.12,0.045,0.02,0.08,0.04,False;True;True;True;False;False,15.0,SG90,AD002,-79.029,-30.008
False,0.0,70.0;50.0;50.0;75.0;55.0;55.0;70.0,0.118,500.0,0.009,0.22,0.04,-45.0;-30.0;-30.0;5.0;-25.0;-25.0;-45.0,0.471,395.0,0.017,0.12,0.045,0.02,0.08,0.04,False;True;True;True;False;False,15.0,SG90,AD004,-80.42,-30.009
False,0.0,70.0;50.0;50.0;75.0;55.0;55.0;70.0,0.118,500.0,0.009,0.22,0.04,-45.0;-30.0;-30.0;5.0;-25.0;-25.0;-45.0,1.324,353.0,0.055,0.12,0.045,0.02,0.08,0.04,False;True;True;True;False;False,15.0,SG90,MG996R,-89.797,-30.013
False,0.0,70.0;50.0;50.0;75.0;55.0;55.0;70.0,0.118,500.0,0.009,0.22,0.04,-45.0;-30.0;-30.0;5.0;-25.0;-25.0;-45.0,1.863,375.0,0.058,0.12,0.045,0.02,0.08,0.04,False;True;True;True;False;False,15.0,SG90,DS3218MG,-90.335,-30.014
False,0.0,70.0;50.0;50.0;75.0;55.0;55.0;70.0,0.196,545.0,0.013,0.22,0.04,-45.0;-30.0;-30.0;5.0;-25.0;-25.0;-45.0,0.118,500.0,0.009,0.12,0.045,0.02,0.08,0.04,False;True;True;True;False;False,15.0,AD002,SG90,-56.918,-30.008
False,0.0,70.0;50.0;50.0;75.0;55.0;55.0;70.0,0.196,545.0,0.013,0.22,0.04,-45.0;-30.0;-30.0;5.0;-25.0;-25.0;-45.0,0.196,545.0,0.013,0.12,0.045,0.02,0.08,0.04,False;True;True;True;False;False,15.0,AD002,AD002,-59.392,-30.008
False,0.0,70.0;50.0;50.0;75.0;55.0;55.0;70.0,0.196,545.0,0.013,0.22,0.04,-45.0;-30.0;-30.0;5.0;-25.0;-25.0;-45.0,0.471,395.0,0.017,0.12,0.045,0.02,0.08,0.04,False;True;True;True;False;False,15.0,AD002,AD004,-61.639,-30.009
False,0.0,70.0;50.0;50.0;75.0;55.0;55.0;70.0,0.196,545.0,0.013,0.22,0.04,-45.0;-30.0;-30.0;5.0;-25.0;-25.0;-45.0,1.324,353.0,0.055,0.12,0.045,0.02,0.08,0.04,False;True;True;True;False;False,15.0,AD002,MG996R,-76.129,-30.013
False,0.0,70.0;50.0;50.0;75.0;55.0;55.0;70.0,0.196,545.0,0.013,0.22,0.04,-45.0;-30.0;-30.0;5.0;-25.0;-25.0;-45.0,1.863,375.0,0.058,0.12,0.045,0.02,0.08,0.04,False;True;True;True;False;False,15.0,AD002,DS3218MG,-76.935,-30.014
True,12.34,70.0;50.0;50.0;75.0;55.0;55.0;70.0,0.471,395.0,0.017,0.22,0.04,-45.0;-30.0;-30.0;5.0;-25.0;-25.0;-45.0,0.118,500.0,0.009,0.12,0.045,0.02,0.08,0.04,False;True;True;True;False;False,15.0,AD004,SG90,69.984,-45.007
True,1.64,70.0;50.0;50.0;75.0;55.0;55.0;70.0,0.471,395.0,0.017,0.22,0.04,-45.0;-30.0;-30.0;5.0;-25.0;-25.0;-45.0,0.196,545.0,0.013,0.12,0.045,0.02,0.08,0.04,False;True;True;True;False;False,15.0,AD004,AD002,69.983,-45.007
True,1.56,70.0;50.0;50.0;75.0;55.0;55.0;70.0,0.471,395.0,0.017,0.22,0.04,-45.0;-30.0;-30.0;5.0;-25.0;-25.0;-45.0,0.471,395.0,0.017,0.12,0.045,0.02,0.08,0.04,False;True;True;True;False;False,15.0,AD004,AD004,69.982,-45.008
True,2.54,70.0;50.0;50.0;75.0;55.0;55.0;70.0,0.471,395.0,0.017,0.22,0.04,-45.0;-30.0;-30.0;5.0;-25.0;-25.0;-45.0,1.324,353.0,0.055,0.12,0.045,0.02,0.08,0.04,False;True;True;True;False;False,15.0,AD004,MG996R,69.976,-45.011
True,3.04,70.0;50.0;50.0;75.0;55.0;55.0;70.0,0.471,395.0,0.017,0.22,0.04,-45.0;-30.0;-30.0;5.0;-25.0;-25.0;-45.0,1.863,375.0,0.058,0.12,0.045,0.02,0.08,0.04,False;True;True;True;False;False,15.0,AD004,DS3218MG,69.975,-45.011
True,12.34,70.0;50.0;50.0;75.0;55.0;55.0;70.0,1.324,353.0,0.055,0.22,0.04,-45.0;-30.0;-30.0;5.0;-25.0;-25.0;-45.0,0.118,500.0,0.009,0.12,0.045,0.02,0.08,0.04,False;True;True;True;False;False,15.0,MG996R,SG90,69.981,-45.007
True,1.6,70.0;50.0;50.0;75.0;55.0;55.0;70.0,1.324,353.0,0.055,0.22,0.04,-45.0;-30.0;-30.0;5.0;-25.0;-25.0;-45.0,0.196,545.0,0.013,0.12,0.045,0.02,0.08,0.04,False;True;True;True;False;False,15.0,MG996R,AD002,69.98,-45.007
True,1.38,70.0;50.0;50.0;75.0;55.0;55.0;70.0,1.324,353.0,0.055,0.22,0.04,-45.0;-30.0;-30.0;5.0;-25.0;-25.0;-45.0,0.471,395.0,0.017,0.12,0.045,0.02,0.08,0.04,False;True;True;True;False;False,15.0,MG996R,AD004,69.979,-45.008
True,1.36,70.0;50.0;50.0;75.0;55.0;55.0;70.0,1.324,353.0,0.055,0.22,0.04,-45.0;-30.0;-30.0;5.0;-25.0;-25.0;-45.0,1.324,353.0,0.055,0.12,0.045,0.02,0.08,0.04,False;True;True;True;False;False,15.0,MG996R,MG996R,69.972,-45.011
True,1.36,70.0;50.0;50.0;75.0;55.0;55.0;70.0,1.324,353.0,0.055,0.22,0.04,-45.0;-30.0;-30.0;5.0;-25.0;-25.0;-45.0,1.863,375.0,0.058,0.12,0.045,0.02,0.08,0.04,False;True;True;True;False;False,15.0,MG996R,DS3218MG,69.972,-45.011
True,12.34,70.0;50.0;50.0;75.0;55.0;55.0;70.0,1.863,375.0,0.058,0.22,0.04,-45.0;-30.0;-30.0;5.0;-25.0;-25.0;-45.0,0.118,500.0,0.009,0.12,0.045,0.02,0.08,0.04,False;True;True;True;False;False,15.0,DS3218MG,SG90,69.98,-45.007
True,1.58,70.0;50.0;50.0;75.0;55.0;55.0;70.0,1.863,375.0,0.058,0.22,0.04,-45.0;-30.0;-30.0;5.0;-25.0;-25.0;-45.0,0.196,545.0,0.013,0.12,0.045,0.02,0.08,0.04,False;True;True;True;False;False,15.0,DS3218MG,AD002,69.98,-45.007
True,1.36,70.0;50.0;50.0;75.0;55.0;55.0;70.0,1.863,375.0,0.058,0.22,0.04,-45.0;-30.0;-30.0;5.0;-25.0;-25.0;-45.0,0.471,395.0,0.017,0.12,0.045,0.02,0.08,0.04,False;True;True;True;False;False,15.0,DS3218MG,AD004,69.979,-45.008
True,1.34,70.0;50.0;50.0;75.0;55.0;55.0;70.0,1.863,375.0,0.058,0.22,0.04,-45.0;-30.0;-30.0;5.0;-25.0;-25.0;-45.0,1.324,353.0,0.055,0.12,0.045,0.02,0.08,0.04,False;True;True;True;False;False,15.0,DS3218MG,MG996R,69.972,-45.011
True,1.34,70.0;50.0;50.0;75.0;55.0;55.0;70.0,1.863,375.0,0.058,0.22,0.04,-45.0;-30.0;-30.0;5.0;-25.0;-25.0;-45.0,1.863,375.0,0.058,0.12,0.045,0.02,0.08,0.04,False;True;True;True;False;False,15.0,DS3218MG,DS3218MG,69.971,-45.011
